"status","duration","history","purpose","credit","bonds","jobex","rate","sex","guarantor","residence","property","age","install","house","nocredit","job","no","ph","nri","credibility","TIN_status_A11","TIN_status_A12","TIN_status_A13","TIN_status_A14","TIN_history_A30","TIN_history_A31","TIN_history_A32","TIN_history_A33","TIN_history_A34","TIN_purpose_A40","TIN_purpose_A41","TIN_purpose_A410","TIN_purpose_A42","TIN_purpose_A43","TIN_purpose_A44","TIN_purpose_A45","TIN_purpose_A46","TIN_purpose_A48","TIN_purpose_A49","TIN_bonds_A61","TIN_bonds_A62","TIN_bonds_A63","TIN_bonds_A64","TIN_bonds_A65","TIN_jobex_A71","TIN_jobex_A72","TIN_jobex_A73","TIN_jobex_A74","TIN_jobex_A75","TIN_sex_A91","TIN_sex_A92","TIN_sex_A93","TIN_sex_A94","TIN_guarantor_A101","TIN_guarantor_A102","TIN_guarantor_A103","TIN_property_A121","TIN_property_A122","TIN_property_A123","TIN_property_A124","TIN_install_A141","TIN_install_A142","TIN_install_A143","TIN_house_A151","TIN_house_A152","TIN_house_A153","TIN_job_A171","TIN_job_A172","TIN_job_A173","TIN_job_A174","TIN_ph_A191","TIN_ph_A192","TIN_nri_A201","TIN_nri_A202","R01_credit","RIN_age_4","R01_credibility","RIN_R01_credit_4"
"A11",24,"A31","A49",3161,"A61","A73",4,"A93","A101",2,"A122",31,"A143","A151",1,"A173",1,"A192","A201",2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0.160173874766149,1,1,0
"A13",9,"A32","A43",745,"A61","A73",3,"A92","A101",2,"A121",28,"A143","A152",1,"A172",1,"A191","A201",2,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0.027236711786068,0,1,0
"A11",47,"A32","A40",10722,"A61","A72",1,"A92","A101",1,"A121",35,"A143","A152",1,"A172",1,"A192","A201",1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0.576207769340817,1,0,2
"A14",18,"A30","A49",4165,"A61","A73",2,"A93","A101",2,"A123",36,"A142","A152",2,"A173",2,"A191","A201",2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0.21541762958072,1,1,1
"A11",42,"A33","A43",4370,"A61","A74",3,"A93","A101",2,"A122",26,"A141","A152",2,"A173",2,"A192","A201",2,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0.226697479916364,0,1,1
"A11",6,"A34","A40",1361,"A61","A72",2,"A93","A101",4,"A121",40,"A143","A152",1,"A172",2,"A191","A202",1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0.0611312864531749,1,0,0
"A12",8,"A32","A43",760,"A61","A74",4,"A92","A103",2,"A121",44,"A143","A152",1,"A172",1,"A191","A201",1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0.0280620666886761,1,0,0
"A14",18,"A32","A42",1984,"A61","A73",4,"A93","A101",4,"A124",47,"A141","A153",2,"A173",1,"A191","A201",1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0.0954110267414988,2,0,0
"A12",12,"A32","A42",1922,"A61","A73",4,"A93","A101",2,"A122",37,"A143","A152",1,"A172",1,"A191","A201",2,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0.0919995598107186,1,1,0
"A14",18,"A34","A43",1800,"A61","A73",4,"A93","A101",2,"A123",24,"A143","A152",2,"A173",1,"A191","A201",1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0.0852866732695059,0,0,0
