"duration","credit","rate","residence","age","nocredit","liable","TNM_check_status","TNM_history","TNM_purpose","TNM_bonds","TNM_jobex","TNM_s_status","TNM_guarantor","TNM_property","TNM_install","TNM_house","TNM_job","TNM_ph","TNM_nri","R01_credibility"
27,4526,4,2,32,2,2,4,5,4,4,2,3,1,1,2,2,2,2,1,0
45,11816,2,4,29,2,1,1,1,10,1,5,3,1,3,3,1,3,1,1,1
24,11938,2,3,39,2,2,2,5,3,1,3,3,2,3,3,2,4,2,1,1
24,11938,2,3,39,2,2,2,5,3,1,3,3,2,3,3,2,4,2,1,1
24,11938,2,3,39,2,2,2,5,3,1,3,3,2,3,3,2,4,2,1,1
4,1494,1,2,29,1,2,3,3,1,5,2,3,1,1,3,2,2,1,2,0
24,1371,4,4,25,1,1,1,3,1,5,3,2,1,1,3,1,3,1,1,1
9,1980,2,2,19,2,1,4,3,4,1,2,2,2,3,3,1,3,1,1,1
9,1980,2,2,19,2,1,4,3,4,1,2,2,2,3,3,1,3,1,1,1
18,1582,4,4,46,2,1,4,5,5,4,5,3,1,3,3,2,3,1,1,0
12,1123,4,4,29,1,1,4,3,4,3,3,2,1,3,3,1,2,1,1,1
12,1123,4,4,29,1,1,4,3,4,3,3,2,1,3,3,1,2,1,1,1
12,1123,4,4,29,1,1,4,3,4,3,3,2,1,3,3,1,2,1,1,1
12,1123,4,4,29,1,1,4,3,4,3,3,2,1,3,3,1,2,1,1,1
12,1123,4,4,29,1,1,4,3,4,3,3,2,1,3,3,1,2,1,1,1
12,1123,4,4,29,1,1,4,3,4,3,3,2,1,3,3,1,2,1,1,1
12,804,4,4,38,1,1,4,3,5,1,5,3,1,3,3,2,3,1,1,0
60,15653,2,4,21,2,1,4,4,5,1,4,3,1,3,3,2,3,2,1,0
10,7308,2,4,70,1,1,2,3,1,1,1,3,1,4,1,3,4,2,1,0
18,1049,4,4,21,1,1,1,5,4,1,2,2,1,2,3,1,3,1,1,0
21,1835,3,2,25,2,1,1,3,5,1,3,2,1,1,3,2,3,2,1,1
10,894,4,3,40,1,1,4,3,9,5,4,2,1,2,3,2,3,2,1,0
12,1344,4,2,43,2,2,1,4,1,1,3,3,1,1,3,2,2,1,1,0
42,3965,4,3,34,1,1,1,3,5,1,2,3,1,3,3,2,3,1,1,1
42,3965,4,3,34,1,1,1,3,5,1,2,3,1,3,3,2,3,1,1,1
48,3931,4,4,46,1,2,1,3,1,1,4,3,1,4,3,3,3,1,1,1
21,2767,4,2,61,2,1,2,3,10,2,5,1,1,3,1,1,2,1,1,1
21,2767,4,2,61,2,1,2,3,10,2,5,1,1,3,1,1,2,1,1,1
21,2767,4,2,61,2,1,2,3,10,2,5,1,1,3,1,1,2,1,1,1
8,1237,3,4,24,1,1,2,3,4,1,3,2,1,1,3,2,3,1,1,1
8,1237,3,4,24,1,1,2,3,4,1,3,2,1,1,3,2,3,1,1,1
8,1237,3,4,24,1,1,2,3,4,1,3,2,1,1,3,2,3,1,1,1
8,1237,3,4,24,1,1,2,3,4,1,3,2,1,1,3,2,3,1,1,1
8,1237,3,4,24,1,1,2,3,4,1,3,2,1,1,3,2,3,1,1,1
48,2751,4,3,38,2,2,4,5,2,5,5,3,1,3,3,2,3,2,1,0
30,4530,4,4,26,1,1,4,5,5,1,4,2,1,3,3,1,4,2,1,0
24,3345,4,2,39,1,1,1,3,4,1,5,3,1,2,3,1,4,2,1,1
24,3345,4,2,39,1,1,1,3,4,1,5,3,1,2,3,1,4,2,1,1
24,3345,4,2,39,1,1,1,3,4,1,5,3,1,2,3,1,4,2,1,1
6,1238,4,4,36,1,2,4,3,9,5,1,3,1,2,3,2,4,2,1,0
24,1925,2,2,26,1,1,3,3,4,1,3,3,1,1,3,2,3,1,1,0
60,7297,4,4,36,1,1,1,3,10,1,5,3,2,4,3,1,3,1,1,1
24,3123,4,1,27,1,1,1,3,1,1,2,2,1,2,3,2,3,1,1,1
24,3123,4,1,27,1,1,1,3,1,1,2,2,1,2,3,2,3,1,1,1
24,3123,4,1,27,1,1,1,3,1,1,2,2,1,2,3,2,3,1,1,1
48,6416,4,3,59,1,1,2,2,10,1,5,2,1,4,3,1,3,1,1,1
48,6416,4,3,59,1,1,2,2,10,1,5,2,1,4,3,1,3,1,1,1
48,6416,4,3,59,1,1,2,2,10,1,5,2,1,4,3,1,3,1,1,1
48,6416,4,3,59,1,1,2,2,10,1,5,2,1,4,3,1,3,1,1,1
48,6416,4,3,59,1,1,2,2,10,1,5,2,1,4,3,1,3,1,1,1
30,7596,1,4,63,2,1,4,5,2,5,5,3,1,3,3,2,3,1,1,0
24,6579,4,2,29,1,1,1,3,2,1,1,3,1,4,3,3,4,2,1,0
12,2171,2,2,29,1,1,4,3,5,1,2,2,1,3,1,2,3,1,1,0
30,3622,4,4,57,2,1,1,3,4,4,5,2,1,2,3,1,3,2,1,0
