duration,credit,rate,residence,age,nocredit,liable,credibility,TNM_check_Status,TNM_history,TIN_purpose_A40,TIN_purpose_A41,TIN_purpose_A410,TIN_purpose_A42,TIN_purpose_A43,TIN_purpose_A44,TIN_purpose_A45,TIN_purpose_A46,TIN_purpose_A48,TIN_purpose_A49,TNM_bonds,TNM_jobex,TIN_s_status_A91,TIN_s_status_A92,TIN_s_status_A93,TIN_s_status_A94,TIN_guarantor_A101,TIN_guarantor_A102,TIN_guarantor_A103,TIN_property_A121,TIN_property_A122,TIN_property_A123,TIN_property_A124,TIN_install_A141,TIN_install_A142,TIN_install_A143,TIN_ph_A191,TIN_ph_A192,TIN_nri_A201,TIN_nri_A202,TNM_job,TIN_house_A151,TIN_house_A152,TIN_house_A153
24,3161,4,2,31,1,1,2,1,2,0,0,0,0,0,0,0,0,0,1,1,3,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,3,1,0,0
9,745,3,2,28,1,1,2,3,3,0,0,0,0,1,0,0,0,0,0,1,3,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,2,0,1,0
47,10722,1,1,35,1,1,1,1,3,1,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,2,0,1,0
18,4165,2,2,36,2,2,2,4,1,0,0,0,0,0,0,0,0,0,1,1,3,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,3,0,1,0
42,4370,3,2,26,2,2,2,1,4,0,0,0,0,1,0,0,0,0,0,1,4,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,3,0,1,0
6,1361,2,4,40,1,2,1,1,5,1,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,2,0,1,0
8,760,4,2,44,1,1,1,2,3,0,0,0,0,1,0,0,0,0,0,1,4,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,2,0,1,0
18,1984,4,4,47,2,1,1,4,3,0,0,0,1,0,0,0,0,0,0,1,3,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,3,0,0,1
12,1922,4,2,37,1,1,2,2,3,0,0,0,1,0,0,0,0,0,0,1,3,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,2,0,1,0
18,1800,4,2,24,2,1,1,4,5,0,0,0,0,1,0,0,0,0,0,1,3,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,3,0,1,0
24,2670,4,4,35,1,1,1,4,3,0,1,0,0,0,0,0,0,0,0,1,5,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,4,0,1,0
6,1198,4,4,35,1,1,2,1,2,0,0,0,0,0,0,0,1,0,0,1,5,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,3,0,0,1
12,2002,3,4,30,1,2,1,2,3,1,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,3,1,0,0
30,2150,4,2,24,1,1,2,2,3,1,0,0,0,0,0,0,0,0,0,1,3,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,3,0,1,0
24,2679,4,1,29,1,1,1,4,3,0,1,0,0,0,0,0,0,0,0,1,2,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,4,0,1,0
12,697,4,2,46,2,1,2,1,2,1,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,3,0,1,0
15,3556,3,2,29,1,1,1,4,3,1,0,0,0,0,0,0,0,0,0,5,3,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,3,0,1,0
48,3578,4,1,47,1,1,1,4,5,0,0,0,0,1,0,0,0,0,0,5,5,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,3,0,1,0
24,1659,4,2,29,1,1,2,1,4,0,0,0,0,1,0,0,0,0,0,1,2,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,2,1,0,0
48,8858,2,1,35,2,1,1,4,5,0,1,0,0,0,0,0,0,0,0,5,4,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,3,0,0,1
12,795,4,4,53,1,1,2,1,3,0,0,0,0,0,0,0,1,0,0,1,2,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,3,0,1,0
12,1240,4,2,38,2,1,1,4,5,0,0,0,0,1,0,0,0,0,0,5,5,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,3,0,1,0
15,3568,4,2,54,1,1,1,4,3,0,0,0,0,1,0,0,0,0,0,1,5,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,4,1,0,0
24,6872,2,1,55,1,1,2,1,2,0,0,0,1,0,0,0,0,0,0,1,2,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,3,0,1,0
24,5943,1,1,44,2,1,2,4,3,0,0,0,0,1,0,0,0,0,0,5,2,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,3,0,1,0
36,5493,2,4,42,1,2,1,1,3,0,1,0,0,0,0,0,0,0,0,1,5,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,3,0,0,1
20,2212,4,4,39,1,1,1,1,3,0,0,0,1,0,0,0,0,0,0,5,4,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,3,0,1,0
24,9277,2,4,48,1,1,1,4,3,0,1,0,0,0,0,0,0,0,0,5,3,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,3,0,0,1
9,2136,3,2,25,1,1,1,1,3,0,0,0,1,0,0,0,0,0,0,1,3,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,3,0,1,0
