RRC_TNM_ph,RRC_TNM_nri,RRC_duration,RRC_credit,RRC_rate,RRC_residence,RRC_age,RRC_nocredit,RRC_liable,RRC_TNM_check_status,RRC_TNM_history,RRC_TNM_purpose,RRC_TNM_bonds,RRC_TNM_jobex,RRC_TNM_s_status,RRC_TNM_guarantor,RRC_TNM_property,RRC_TNM_install,RRC_TNM_house,RRC_TNM_job,R01_credibility
1.2139902295,-0.1959162514,-1.2358594668,-0.7447587545,0.9180178142,1.0464630541,2.7650729106,1.0265652438,-0.428075368,-1.2539382097,1.3433419082,0.2639358612,1.8322522527,1.3374092821,0.4491017557,-0.3035338526,-1.2930759524,0.4606002072,0.1336435834,0.1468756875,0
-0.8229061287,-0.1959162514,2.247069984,0.9493417622,-0.8697481336,-0.7655941825,-1.1908080895,-0.7045734472,-0.428075368,-0.458796669,-0.5031761787,0.2639358612,-0.6993570774,-0.3178002254,-0.9631679162,-0.3035338526,-1.2930759524,0.4606002072,0.1336435834,0.1468756875,1
-0.8229061287,-0.1959162514,-0.7382981167,-0.4163540747,-0.8697481336,0.1404344358,1.1827205106,-0.7045734472,2.3337011999,1.1314864124,1.3433419082,1.3591054096,-0.6993570774,0.5098045283,0.4491017557,-0.3035338526,-1.2930759524,0.4606002072,0.1336435834,-1.3830793904,0
-0.8229061287,-0.1959162514,1.7495086339,1.633429612,-0.8697481336,1.0464630541,0.8310866439,-0.7045734472,2.3337011999,-1.2539382097,-0.5031761787,-0.101120655,-0.6993570774,0.5098045283,0.4491017557,3.8831399758,-0.3408845294,0.4606002072,2.0159475755,0.1468756875,0
-0.8229061287,-0.1959162514,0.2568245836,0.5663801021,0.0241348403,1.0464630541,1.5343543772,1.0265652438,2.3337011999,-1.2539382097,0.4200828648,-1.1962902034,-0.6993570774,-0.3178002254,0.4491017557,-0.3035338526,1.5634983166,0.4606002072,2.0159475755,0.1468756875,1
1.2139902295,-0.1959162514,1.2519472838,2.0489837538,-0.8697481336,1.0464630541,-0.0479980228,-0.7045734472,2.3337011999,1.1314864124,-0.5031761787,1.3591054096,1.8322522527,-0.3178002254,0.4491017557,-0.3035338526,1.5634983166,0.4606002072,2.0159475755,-1.3830793904,0
-0.8229061287,-0.1959162514,0.2568245836,-0.1545514227,0.0241348403,1.0464630541,1.5343543772,-0.7045734472,-0.428075368,1.1314864124,-0.5031761787,-0.101120655,0.5664475876,1.3374092821,0.4491017557,-0.3035338526,-0.3408845294,0.4606002072,0.1336435834,0.1468756875,0
1.2139902295,-0.1959162514,1.2519472838,1.3025450694,-0.8697481336,-0.7655941825,-0.0479980228,-0.7045734472,-0.428075368,-0.458796669,-0.5031761787,-0.8312336873,-0.6993570774,-0.3178002254,0.4491017557,-0.3035338526,0.6113068936,0.4606002072,-1.7486604086,1.6768307653,0
-0.8229061287,-0.1959162514,-0.7382981167,-0.075195815,-0.8697481336,1.0464630541,2.2376221106,-0.7045734472,-0.428075368,1.1314864124,-0.5031761787,0.2639358612,1.1993499201,0.5098045283,-2.3754375881,-0.3035338526,-1.2930759524,0.4606002072,0.1336435834,-1.3830793904,0
-0.8229061287,-0.1959162514,0.7543859337,0.6953329645,0.9180178142,-0.7655941825,-0.6633572895,1.0265652438,-0.428075368,-0.458796669,1.3433419082,-1.1962902034,-0.6993570774,-1.973009733,1.8613714276,-0.3035338526,0.6113068936,0.4606002072,0.1336435834,1.6768307653,1
-0.8229061287,-0.1959162514,-0.7382981167,-0.7001212252,0.0241348403,-1.6716228008,-0.9270826895,-0.7045734472,-0.428075368,-0.458796669,-0.5031761787,-1.1962902034,-0.6993570774,-1.1454049792,-0.9631679162,-0.3035338526,0.6113068936,0.4606002072,-1.7486604086,0.1468756875,1
-0.8229061287,-0.1959162514,2.247069984,0.3672825508,0.0241348403,1.0464630541,-1.0149911562,-0.7045734472,-0.428075368,-1.2539382097,-0.5031761787,2.0892184419,-0.6993570774,-1.1454049792,-0.9631679162,-0.3035338526,-0.3408845294,0.4606002072,-1.7486604086,0.1468756875,1
1.2139902295,-0.1959162514,-0.7382981167,-0.6037608445,-1.7636311075,-1.6716228008,-1.1908080895,-0.7045734472,-0.428075368,-0.458796669,-0.5031761787,0.2639358612,-0.6993570774,-0.3178002254,-0.9631679162,-0.3035338526,0.6113068936,0.4606002072,0.1336435834,0.1468756875,0
-0.8229061287,-0.1959162514,0.2568245836,-0.7341307713,0.9180178142,1.0464630541,2.1497136439,1.0265652438,-0.428075368,-1.2539382097,1.3433419082,-1.1962902034,-0.6993570774,1.3374092821,0.4491017557,-0.3035338526,0.6113068936,0.4606002072,0.1336435834,-1.3830793904,1
-0.8229061287,-0.1959162514,-0.4895174416,-0.6618604858,-0.8697481336,1.0464630541,-0.6633572895,-0.7045734472,-0.428075368,-1.2539382097,-0.5031761787,-1.1962902034,-0.6993570774,-0.3178002254,-0.9631679162,-0.3035338526,0.6113068936,0.4606002072,-1.7486604086,0.1468756875,0
-0.8229061287,-0.1959162514,0.2568245836,-0.7047266846,0.9180178142,-0.7655941825,-0.3117234228,-0.7045734472,-0.428075368,-1.2539382097,-0.5031761787,0.2639358612,-0.0664547449,-0.3178002254,-0.9631679162,-0.3035338526,0.6113068936,0.4606002072,0.1336435834,-1.3830793904,1
-0.8229061287,-0.1959162514,0.2568245836,-0.300154792,0.9180178142,1.0464630541,1.5343543772,1.0265652438,-0.428075368,1.1314864124,1.3433419082,0.2639358612,1.8322522527,1.3374092821,0.4491017557,-0.3035338526,-0.3408845294,0.4606002072,0.1336435834,0.1468756875,0
-0.8229061287,-0.1959162514,0.7543859337,1.700740172,-0.8697481336,0.1404344358,-0.9270826895,2.7577039347,-0.428075368,-1.2539382097,-2.3496942655,2.0892184419,1.8322522527,-1.1454049792,0.4491017557,-0.3035338526,0.6113068936,-2.3738626064,0.1336435834,0.1468756875,0
1.2139902295,-0.1959162514,0.2568245836,3.2974175097,0.9180178142,-0.7655941825,0.7431781772,-0.7045734472,-0.428075368,-0.458796669,-0.5031761787,-0.8312336873,-0.6993570774,1.3374092821,-0.9631679162,-0.3035338526,1.5634983166,0.4606002072,2.0159475755,1.6768307653,1
1.2139902295,-0.1959162514,0.2568245836,0.0562369101,0.0241348403,-0.7655941825,-0.3996318895,-0.7045734472,2.3337011999,1.1314864124,-0.5031761787,0.2639358612,0.5664475876,1.3374092821,0.4491017557,-0.3035338526,0.6113068936,0.4606002072,0.1336435834,0.1468756875,0
1.2139902295,-0.1959162514,-0.9870787918,-0.4028919626,0.9180178142,1.0464630541,1.0948120439,2.7577039347,-0.428075368,1.1314864124,1.3433419082,-1.1962902034,-0.6993570774,-0.3178002254,0.4491017557,-0.3035338526,0.6113068936,0.4606002072,0.1336435834,0.1468756875,0
-0.8229061287,-0.1959162514,-1.2358594668,-0.2211534505,-0.8697481336,0.1404344358,0.7431781772,-0.7045734472,2.3337011999,-1.2539382097,-0.5031761787,0.2639358612,0.5664475876,-0.3178002254,0.4491017557,-0.3035338526,-1.2930759524,0.4606002072,-1.7486604086,0.1468756875,0
-0.8229061287,5.0991175707,-0.9041519001,-0.3649854894,-1.7636311075,0.1404344358,1.0948120439,1.0265652438,2.3337011999,-1.2539382097,1.3433419082,-1.1962902034,-0.6993570774,-1.1454049792,0.4491017557,-0.3035338526,-1.2930759524,0.4606002072,-1.7486604086,-1.3830793904,0
-0.8229061287,-0.1959162514,-0.7382981167,-0.5197997775,0.0241348403,1.0464630541,0.7431781772,-0.7045734472,-0.428075368,-0.458796669,1.3433419082,-0.8312336873,-0.0664547449,-1.1454049792,0.4491017557,-0.3035338526,-0.3408845294,0.4606002072,0.1336435834,0.1468756875,0
-0.8229061287,5.0991175707,-0.9041519001,-0.4259192595,-0.8697481336,-1.6716228008,-0.8391742228,1.0265652438,-0.428075368,1.1314864124,1.3433419082,-0.101120655,1.8322522527,-0.3178002254,1.8613714276,-0.3035338526,0.6113068936,0.4606002072,0.1336435834,0.1468756875,0
1.2139902295,-0.1959162514,-1.2358594668,-0.6721342029,-1.7636311075,-0.7655941825,0.0399104439,-0.7045734472,-0.428075368,-1.2539382097,-0.5031761787,-0.101120655,-0.6993570774,-0.3178002254,0.4491017557,-0.3035338526,-1.2930759524,-2.3738626064,0.1336435834,-1.3830793904,0
-0.8229061287,-0.1959162514,-1.2358594668,-1.0079784709,0.9180178142,1.0464630541,0.3036358439,-0.7045734472,-0.428075368,1.1314864124,-2.3496942655,0.2639358612,-0.6993570774,1.3374092821,1.8613714276,-0.3035338526,0.6113068936,0.4606002072,0.1336435834,-1.3830793904,0
-0.8229061287,-0.1959162514,-0.7382981167,-1.0140009947,0.0241348403,0.1404344358,0.5673612439,1.0265652438,-0.428075368,0.3363448717,-1.4264352221,0.2639358612,1.1993499201,-0.3178002254,-0.9631679162,-0.3035338526,-1.2930759524,0.4606002072,-1.7486604086,0.1468756875,0
-0.8229061287,-0.1959162514,-1.1529325751,-0.303343187,0.0241348403,-0.7655941825,-0.1359064895,-0.7045734472,-0.428075368,-0.458796669,-0.5031761787,0.2639358612,-0.6993570774,-0.3178002254,0.4491017557,3.8831399758,-1.2930759524,0.4606002072,0.1336435834,0.1468756875,0
